16:54:57 | LOCK_ACQUIRED | sim=0.61
16:54:57 | MOVE_RIGHT | nose_x=0.88
16:54:58 | MOVE_LEFT | nose_x=0.49
16:54:59 | MOVE_LEFT | nose_x=0.38
16:55:00 | MOVE_LEFT | nose_x=0.38
16:55:01 | BLINK | EAR=0.20
16:55:01 | MOVE_LEFT | nose_x=0.39
16:55:02 | MOVE_LEFT | nose_x=0.39
16:55:03 | MOVE_LEFT | nose_x=0.38
16:55:04 | MOVE_LEFT | nose_x=0.39
16:55:05 | MOVE_LEFT | nose_x=0.30
16:55:06 | MOVE_LEFT | nose_x=0.40
16:55:07 | BLINK | EAR=0.20
16:55:07 | MOVE_LEFT | nose_x=0.50
16:55:16 | MOVE_LEFT | nose_x=0.50
16:55:17 | MOVE_LEFT | nose_x=0.39
16:55:18 | MOVE_LEFT | nose_x=0.49
16:55:19 | MOVE_LEFT | nose_x=0.36
16:55:20 | MOVE_LEFT | nose_x=0.41
16:55:21 | MOVE_RIGHT | nose_x=0.61
16:55:22 | MOVE_RIGHT | nose_x=0.67
16:55:22 | MOVE_LEFT | nose_x=0.45
16:55:23 | MOVE_LEFT | nose_x=0.43
16:55:24 | MOVE_LEFT | nose_x=0.49
16:55:25 | MOVE_RIGHT | nose_x=0.61
16:55:26 | MOVE_RIGHT | nose_x=0.77
16:55:26 | MOVE_LEFT | nose_x=0.49
16:55:27 | MOVE_LEFT | nose_x=0.46
16:55:28 | BLINK | EAR=0.16
16:55:28 | MOVE_LEFT | nose_x=0.46
16:55:29 | MOVE_LEFT | nose_x=0.49
16:55:34 | MOVE_RIGHT | nose_x=0.61
16:55:35 | MOVE_RIGHT | nose_x=0.75
16:55:36 | MOVE_LEFT | nose_x=0.49
16:55:37 | MOVE_LEFT | nose_x=0.45
16:55:38 | MOVE_LEFT | nose_x=0.35
16:55:39 | MOVE_LEFT | nose_x=0.37
16:55:40 | MOVE_RIGHT | nose_x=0.61
16:55:41 | MOVE_RIGHT | nose_x=0.66
16:55:42 | MOVE_RIGHT | nose_x=0.61
16:55:43 | MOVE_RIGHT | nose_x=0.63
16:55:44 | MOVE_LEFT | nose_x=0.49
16:55:45 | BLINK | EAR=0.20
16:55:45 | MOVE_LEFT | nose_x=0.41
16:55:46 | MOVE_LEFT | nose_x=0.40
16:55:47 | MOVE_LEFT | nose_x=0.27
16:55:48 | MOVE_LEFT | nose_x=0.32
16:55:49 | MOVE_RIGHT | nose_x=0.61
16:55:50 | BLINK | EAR=0.20
16:55:50 | MOVE_RIGHT | nose_x=0.66
16:55:51 | MOVE_RIGHT | nose_x=0.63
16:55:53 | MOVE_LEFT | nose_x=0.49
16:55:54 | MOVE_LEFT | nose_x=0.41
16:55:55 | MOVE_LEFT | nose_x=0.24
16:55:56 | MOVE_LEFT | nose_x=0.13
16:55:57 | MOVE_LEFT | nose_x=0.41
16:55:57 | MOVE_RIGHT | nose_x=0.63
16:55:58 | MOVE_RIGHT | nose_x=0.74
16:55:59 | MOVE_LEFT | nose_x=0.49
16:56:00 | MOVE_LEFT | nose_x=0.39
16:56:01 | MOVE_LEFT | nose_x=0.18
16:56:02 | MOVE_LEFT | nose_x=0.46
16:56:03 | MOVE_RIGHT | nose_x=0.60
16:56:04 | MOVE_RIGHT | nose_x=0.62
16:56:05 | MOVE_RIGHT | nose_x=1.01
16:56:06 | MOVE_RIGHT | nose_x=0.62
16:56:06 | MOVE_LEFT | nose_x=0.46
16:56:07 | MOVE_LEFT | nose_x=0.23
16:56:10 | LOCK_LOST | Target disappeared
16:57:17 | LOCK_ACQUIRED | sim=0.60
16:57:17 | MOVE_RIGHT | nose_x=1.04
16:57:18 | MOVE_LEFT | nose_x=0.48
16:57:19 | MOVE_LEFT | nose_x=0.47
16:57:21 | MOVE_LEFT | nose_x=0.50
16:57:22 | LOCK_LOST | Target disappeared
16:57:28 | LOCK_ACQUIRED | sim=0.51
16:57:28 | MOVE_LEFT | nose_x=0.07
16:57:29 | MOVE_LEFT | nose_x=0.48
16:57:29 | MOVE_RIGHT | nose_x=0.60
16:57:31 | LOCK_LOST | Target disappeared
16:57:36 | LOCK_ACQUIRED | sim=0.55
16:57:36 | MOVE_RIGHT | nose_x=0.99
