11:52:44 | BLINK | EAR=0.17
11:52:44 | MOVE_LEFT | nose_x=0.32
11:52:45 | MOVE_LEFT | nose_x=0.38
11:52:46 | MOVE_RIGHT | nose_x=0.63
11:52:47 | MOVE_LEFT | nose_x=0.49
11:52:49 | MOVE_LEFT | nose_x=0.50
11:52:50 | MOVE_LEFT | nose_x=0.36
11:52:51 | MOVE_LEFT | nose_x=0.43
11:52:52 | MOVE_RIGHT | nose_x=0.60
11:52:53 | MOVE_RIGHT | nose_x=0.66
11:52:54 | LOCK_LOST | Target disappeared
11:52:54 | LOCK_ACQUIRED | sim=0.51
11:52:54 | MOVE_LEFT | nose_x=0.18
11:52:55 | LOCK_LOST | Target disappeared
11:53:01 | LOCK_ACQUIRED | sim=0.44
11:53:01 | MOVE_LEFT | nose_x=0.06
11:53:02 | MOVE_LEFT | nose_x=0.47
11:53:02 | MOVE_RIGHT | nose_x=0.61
11:53:04 | MOVE_RIGHT | nose_x=0.72
11:53:05 | MOVE_RIGHT | nose_x=0.72
11:53:06 | MOVE_LEFT | nose_x=0.50
11:53:07 | MOVE_LEFT | nose_x=0.44
11:53:08 | MOVE_LEFT | nose_x=0.42
11:53:09 | MOVE_LEFT | nose_x=0.46
11:53:10 | MOVE_LEFT | nose_x=0.44
11:53:11 | MOVE_LEFT | nose_x=0.50
11:53:23 | MOVE_LEFT | nose_x=0.50
11:53:24 | MOVE_LEFT | nose_x=0.46
11:53:24 | MOVE_RIGHT | nose_x=0.63
11:53:26 | MOVE_RIGHT | nose_x=0.69
11:53:27 | MOVE_LEFT | nose_x=0.44
11:53:28 | MOVE_RIGHT | nose_x=0.64
11:53:29 | MOVE_RIGHT | nose_x=0.75
11:53:30 | MOVE_LEFT | nose_x=0.48
11:53:31 | MOVE_LEFT | nose_x=0.50
11:53:32 | MOVE_RIGHT | nose_x=0.62
11:53:33 | MOVE_RIGHT | nose_x=0.60
11:53:36 | BLINK | EAR=0.19
11:53:36 | MOVE_LEFT | nose_x=0.50
11:53:37 | BLINK | EAR=0.19
11:53:40 | MOVE_RIGHT | nose_x=0.61
11:53:42 | MOVE_RIGHT | nose_x=0.61
11:53:43 | MOVE_RIGHT | nose_x=0.61
11:53:48 | BLINK | EAR=0.14
11:53:53 | MOVE_RIGHT | nose_x=0.60
