17:29:32 | LOCK_ACQUIRED | sim=0.57
17:29:32 | BLINK | EAR=0.14
17:29:32 | MOVE_LEFT | nose_x=0.15
17:29:32 | MOVE_RIGHT | nose_x=0.61
17:29:33 | LOCK_LOST | Target disappeared
17:29:38 | LOCK_ACQUIRED | sim=0.62
17:29:38 | MOVE_RIGHT | nose_x=0.92
17:29:39 | MOVE_RIGHT | nose_x=0.98
17:29:40 | MOVE_RIGHT | nose_x=0.98
17:29:41 | SMILE | ratio=0.47
17:29:41 | MOVE_RIGHT | nose_x=1.03
17:29:42 | SMILE | ratio=0.47
17:29:42 | MOVE_RIGHT | nose_x=1.03
17:29:42 | SMILE | ratio=0.46
17:29:42 | MOVE_RIGHT | nose_x=1.03
17:29:42 | SMILE | ratio=0.46
17:29:42 | MOVE_RIGHT | nose_x=1.03
17:29:42 | SMILE | ratio=0.46
17:29:42 | MOVE_RIGHT | nose_x=1.03
17:29:42 | SMILE | ratio=0.45
17:29:42 | MOVE_RIGHT | nose_x=1.03
17:29:42 | SMILE | ratio=0.46
17:29:42 | MOVE_RIGHT | nose_x=1.03
17:29:43 | SMILE | ratio=0.46
17:29:43 | MOVE_RIGHT | nose_x=1.03
17:29:43 | SMILE | ratio=0.47
17:29:43 | MOVE_RIGHT | nose_x=1.03
17:29:43 | SMILE | ratio=0.49
17:29:43 | MOVE_RIGHT | nose_x=1.03
17:29:43 | SMILE | ratio=0.49
17:29:43 | MOVE_RIGHT | nose_x=1.03
17:29:44 | SMILE | ratio=0.48
17:29:44 | MOVE_RIGHT | nose_x=1.02
17:29:44 | SMILE | ratio=0.49
17:29:44 | MOVE_RIGHT | nose_x=1.03
17:29:44 | SMILE | ratio=0.49
17:29:44 | MOVE_RIGHT | nose_x=1.03
17:29:44 | SMILE | ratio=0.50
17:29:44 | MOVE_RIGHT | nose_x=1.04
17:29:44 | SMILE | ratio=0.50
17:29:44 | MOVE_RIGHT | nose_x=1.04
17:29:44 | SMILE | ratio=0.48
17:29:44 | MOVE_RIGHT | nose_x=1.03
17:29:45 | MOVE_RIGHT | nose_x=0.83
17:29:47 | MOVE_RIGHT | nose_x=0.82
17:29:48 | MOVE_RIGHT | nose_x=0.66
17:29:49 | MOVE_RIGHT | nose_x=0.67
17:29:49 | BLINK | EAR=0.18
17:29:49 | MOVE_RIGHT | nose_x=0.65
17:29:50 | MOVE_RIGHT | nose_x=0.62
17:29:51 | MOVE_RIGHT | nose_x=0.61
17:29:52 | MOVE_RIGHT | nose_x=0.60
17:29:53 | MOVE_RIGHT | nose_x=0.61
17:30:04 | MOVE_RIGHT | nose_x=0.64
17:30:05 | MOVE_RIGHT | nose_x=0.71
17:30:06 | MOVE_RIGHT | nose_x=0.69
17:30:07 | MOVE_RIGHT | nose_x=0.66
17:30:08 | MOVE_RIGHT | nose_x=0.69
17:30:10 | MOVE_RIGHT | nose_x=0.94
17:30:10 | LOCK_LOST | Target disappeared
17:31:19 | LOCK_ACQUIRED | sim=0.50
17:31:19 | MOVE_LEFT | nose_x=0.06
17:31:20 | MOVE_LEFT | nose_x=0.30
17:31:21 | MOVE_LEFT | nose_x=0.22
17:31:22 | MOVE_LEFT | nose_x=0.39
17:31:23 | MOVE_LEFT | nose_x=0.39
17:31:24 | MOVE_LEFT | nose_x=0.50
17:31:27 | MOVE_RIGHT | nose_x=0.61
17:31:28 | MOVE_RIGHT | nose_x=0.61
17:31:29 | MOVE_RIGHT | nose_x=0.62
17:31:30 | MOVE_RIGHT | nose_x=0.62
17:31:31 | MOVE_RIGHT | nose_x=0.62
17:31:32 | MOVE_RIGHT | nose_x=0.62
17:31:37 | MOVE_LEFT | nose_x=0.48
17:31:38 | MOVE_LEFT | nose_x=0.50
17:31:39 | MOVE_LEFT | nose_x=0.50
17:31:44 | MOVE_RIGHT | nose_x=0.60
17:31:46 | LOCK_LOST | Target disappeared
17:32:58 | LOCK_ACQUIRED | sim=0.53
17:32:58 | MOVE_LEFT | nose_x=0.31
17:32:58 | BLINK | EAR=0.13
17:32:58 | MOVE_LEFT | nose_x=0.31
17:32:59 | MOVE_LEFT | nose_x=0.42
17:33:00 | MOVE_LEFT | nose_x=0.36
17:33:01 | BLINK | EAR=0.06
17:33:01 | MOVE_LEFT | nose_x=0.42
17:33:02 | MOVE_LEFT | nose_x=0.50
17:33:07 | LOCK_LOST | Target disappeared
17:34:34 | LOCK_ACQUIRED | sim=0.50
17:34:34 | MOVE_RIGHT | nose_x=0.63
17:34:35 | LOCK_LOST | Target disappeared
17:35:48 | LOCK_ACQUIRED | sim=0.41
17:35:48 | MOVE_RIGHT | nose_x=0.93
17:35:49 | LOCK_LOST | Target disappeared
17:35:50 | LOCK_ACQUIRED | sim=0.43
17:35:50 | MOVE_RIGHT | nose_x=0.96
17:35:51 | LOCK_LOST | Target disappeared
17:35:53 | LOCK_ACQUIRED | sim=0.46
17:35:53 | MOVE_RIGHT | nose_x=0.94
17:35:55 | MOVE_RIGHT | nose_x=0.85
17:35:55 | LOCK_LOST | Target disappeared
17:36:02 | LOCK_ACQUIRED | sim=0.40
17:36:02 | MOVE_LEFT | nose_x=0.22
17:36:04 | LOCK_LOST | Target disappeared
17:36:18 | LOCK_ACQUIRED | sim=0.51
17:36:18 | MOVE_LEFT | nose_x=0.18
17:36:18 | LOCK_LOST | Target disappeared
17:38:23 | LOCK_ACQUIRED | sim=0.43
17:38:23 | MOVE_LEFT | nose_x=0.39
17:38:24 | MOVE_RIGHT | nose_x=0.76
17:38:25 | MOVE_RIGHT | nose_x=0.72
17:38:26 | MOVE_LEFT | nose_x=0.35
17:38:26 | BLINK | EAR=0.22
17:38:26 | MOVE_LEFT | nose_x=0.46
17:38:26 | BLINK | EAR=0.17
17:38:26 | MOVE_LEFT | nose_x=0.41
17:38:27 | MOVE_LEFT | nose_x=0.33
17:38:28 | MOVE_LEFT | nose_x=0.31
17:38:29 | MOVE_LEFT | nose_x=0.41
17:38:30 | MOVE_LEFT | nose_x=0.41
17:38:31 | MOVE_LEFT | nose_x=0.44
17:38:32 | MOVE_LEFT | nose_x=0.50
17:38:34 | MOVE_RIGHT | nose_x=0.62
17:38:35 | MOVE_RIGHT | nose_x=0.90
17:38:36 | LOCK_LOST | Target disappeared
17:38:36 | LOCK_ACQUIRED | sim=0.50
17:38:36 | MOVE_RIGHT | nose_x=0.73
17:38:37 | LOCK_LOST | Target disappeared
17:38:40 | LOCK_ACQUIRED | sim=0.41
17:38:40 | MOVE_LEFT | nose_x=0.43
17:38:42 | MOVE_LEFT | nose_x=0.50
17:38:42 | MOVE_RIGHT | nose_x=0.61
17:38:45 | MOVE_RIGHT | nose_x=0.61
17:38:46 | MOVE_RIGHT | nose_x=0.62
17:38:47 | MOVE_RIGHT | nose_x=0.65
17:38:48 | BLINK | EAR=0.21
17:38:48 | MOVE_LEFT | nose_x=0.42
17:38:49 | LOCK_LOST | Target disappeared
